"Time","Position","Velocity","Acceleration"
0.05,2.744,-0.004,0.051
0.10,2.744,-0.001,0.034
0.15,2.744,0.001,0.011
0.20,2.744,0.000,-0.008
0.25,2.744,-0.001,-0.007
0.30,2.744,-0.001,0.005
0.35,2.744,0.001,0.000
0.40,2.744,-0.001,-0.010
0.45,2.744,-0.001,-0.003
0.50,2.744,-0.001,-0.400
0.55,2.744,-0.001,-2.807
0.60,2.744,0.001,-13.639
0.65,2.744,-0.728,-35.035
0.70,2.744,-2.886,-59.446
0.75,2.744,-9.347,-33.446
0.80,1.434,-9.046,40.532
0.85,1.479,-2.296,62.525
0.90,1.501,-0.060,32.917
0.95,1.569,0.295,8.180
1.00,1.533,-0.137,-0.957
1.05,1.531,-0.145,-0.159
1.10,1.517,-0.084,0.888
1.15,1.523,0.013,0.829
1.20,1.522,0.021,0.102
1.25,1.526,0.000,-0.271
1.30,1.522,-0.023,-0.307
1.35,1.523,-0.028,-0.307
1.40,1.521,-0.059,-0.196
1.45,1.515,-0.054,0.012
1.50,1.515,-0.043,-0.036
1.55,1.512,-0.057,-0.108
1.60,1.509,-0.058,-0.121
1.65,1.507,-0.067,-0.152
1.70,1.502,-0.076,-0.117
1.75,1.499,-0.084,0.025
1.80,1.493,-0.079,0.260
1.85,1.490,-0.052,0.375
1.90,1.488,-0.033,0.323
1.95,1.487,-0.018,0.224
2.00,1.487,-0.013,0.153
2.05,1.486,-0.005,0.111
2.10,1.486,0.007,-0.078
2.15,1.488,-0.007,-0.358
2.20,1.486,-0.041,-0.490
2.25,1.482,-0.053,-0.720
2.30,1.483,-0.085,-1.618
2.35,1.476,-0.203,-2.953
2.40,1.459,-0.312,-5.302
2.45,1.465,-0.762,-6.834
2.50,1.382,-1.186,-4.892
2.55,1.326,-1.253,-2.686
2.60,1.261,-1.361,-1.989
2.65,1.190,-1.448,-1.588
2.70,1.115,-1.522,-1.307
2.75,1.037,-1.576,-1.099
2.80,0.956,-1.617,-1.214
2.85,0.876,-1.680,-1.651
2.90,0.791,-1.787,-1.976
2.95,0.698,-1.905,-0.944
3.00,0.598,-1.985,3.858
3.05,0.497,-2.010,22.780
3.10,0.397,-0.545,51.540
3.15,0.296,2.484,84.401
3.20,0.194,13.087,32.141
3.25,2.743,5.203,-19.713
3.30,0.158,5.609,8.952
3.35,2.743,12.909,-63.136
3.40,2.743,0.001,-127.052
3.45,2.743,-11.490,-0.698
3.50,0.158,0.000,122.887
3.55,2.743,12.926,43.087
3.60,2.743,4.309,-51.066
3.65,2.743,1.436,-43.089
3.70,2.743,0.000,-21.548
3.75,2.743,-0.001,-4.788
3.80,2.743,0.000,-0.790
3.85,2.743,0.001,0.008
3.90,2.744,0.001,0.003
3.95,2.743,0.001,0.001
4.00,2.744,0.001,-0.003
4.05,2.743,0.000,-0.005
4.10,2.744,0.000,-0.004
4.15,2.743,0.000,-0.003
4.20,2.744,0.000,-0.002
4.25,2.743,0.000,0.003
4.30,2.744,0.000,0.003
4.35,2.743,0.000,0.001
4.40,2.744,0.000,-0.001
4.45,2.743,0.000,-0.007
4.50,2.744,0.000,-0.011
4.55,2.743,-0.002,0.000
4.60,2.743,0.000,0.012
4.65,2.743,0.000,0.015
4.70,2.743,0.001,0.016
4.75,2.744,0.003,0.000
4.80,2.744,0.001,-0.017
4.85,2.744,0.000,-0.017
4.90,2.744,0.000,-0.020
4.95,2.744,-0.002,-0.024
5.00,2.743,-0.003,-0.024
