"Time","Position","Velocity","Acceleration"
0.05,2.739,-0.004,0.028
0.10,2.739,-0.002,0.022
0.15,2.739,-0.001,0.017
0.20,2.738,0.000,0.017
0.25,2.739,0.001,0.003
0.30,2.739,0.000,-0.007
0.35,2.738,0.000,0.002
0.40,2.739,0.000,0.006
0.45,2.739,0.000,0.005
0.50,2.739,0.001,-0.009
0.55,2.739,-0.001,-0.018
0.60,2.739,-0.002,0.001
0.65,2.738,0.000,0.016
0.70,2.739,0.001,0.003
0.75,2.739,0.000,-0.007
0.80,2.738,0.000,-0.330
0.85,2.739,0.000,-2.280
0.90,2.738,-0.001,-11.028
0.95,2.739,-0.585,-28.490
1.00,2.738,-2.340,-48.683
1.05,2.737,-7.567,-28.783
1.10,1.691,-7.536,30.907
1.15,1.688,-2.188,51.056
1.20,1.698,-0.233,29.664
1.25,1.736,0.317,10.128
1.30,1.735,0.180,0.684
1.35,1.748,0.129,-1.272
1.40,1.751,0.026,-1.493
1.45,1.749,-0.036,-1.094
1.50,1.746,-0.074,-0.832
1.55,1.742,-0.122,-0.500
1.60,1.732,-0.136,-0.025
1.65,1.726,-0.109,0.162
1.70,1.723,-0.105,0.097
1.75,1.717,-0.113,0.215
1.80,1.709,-0.086,0.351
1.85,1.708,-0.057,0.093
1.90,1.706,-0.071,-0.399
1.95,1.699,-0.077,-1.168
2.00,1.704,-0.181,-1.651
2.05,1.689,-0.374,0.084
2.10,1.648,-0.249,2.508
2.15,1.643,0.181,-0.477
2.20,1.706,-0.086,-6.927
2.25,1.662,-0.846,-7.605
2.30,1.588,-1.086,-3.674
2.35,1.542,-1.090,-1.247
2.40,1.485,-1.123,-0.534
2.45,1.427,-1.116,-0.734
2.50,1.378,-1.186,-1.216
2.55,1.310,-1.275,-1.067
2.60,1.245,-1.291,-0.893
2.65,1.183,-1.348,-0.935
2.70,1.111,-1.401,-0.717
2.75,1.041,-1.416,-0.559
2.80,0.970,-1.452,-0.461
2.85,0.895,-1.471,-0.249
2.90,0.822,-1.471,-0.171
2.95,0.748,-1.478,-0.269
3.00,0.675,-1.500,-0.331
3.05,0.598,-1.521,-0.216
3.10,0.522,-1.523,-0.030
3.15,0.446,-1.521,0.249
3.20,0.371,-1.521,1.222
3.25,0.293,-1.469,4.443
3.30,0.216,-1.229,12.732
3.35,0.152,-0.665,35.800
3.40,0.152,1.285,76.352
3.45,0.157,5.742,122.896
3.50,0.158,18.655,73.067
3.55,2.739,18.640,-72.512
3.60,2.738,5.732,-120.315
3.65,2.738,1.433,-70.086
3.70,2.738,0.001,-27.070
3.75,2.738,0.001,-5.572
3.80,2.738,0.000,-0.792
3.85,2.738,0.001,0.009
3.90,2.738,0.002,0.001
3.95,2.738,0.001,-0.007
4.00,2.739,0.001,-0.009
4.05,2.739,0.000,-0.009
4.10,2.738,0.000,-0.007
4.15,2.739,0.000,-0.009
4.20,2.738,-0.002,0.003
4.25,2.738,0.000,0.013
4.30,2.739,0.001,0.007
4.35,2.738,0.001,-0.001
4.40,2.739,0.001,-0.011
4.45,2.739,-0.001,-0.006
4.50,2.738,0.000,0.003
4.55,2.739,0.000,0.008
4.60,2.738,0.001,0.008
4.65,2.739,0.001,-0.007
4.70,2.739,-0.001,-0.006
4.75,2.738,0.000,0.003
4.80,2.739,0.000,-0.001
4.85,2.739,0.000,-0.002
4.90,2.739,0.000,-0.004
4.95,2.739,0.000,-0.008
5.00,2.739,-0.001,-0.009
