"Time","Position","Velocity","Acceleration"
0.05,2.747,0.001,-0.029
0.10,2.747,-0.001,-0.016
0.15,2.747,-0.001,-0.002
0.20,2.747,0.000,0.005
0.25,2.747,0.000,0.012
0.30,2.747,0.002,0.004
0.35,2.747,0.000,-0.008
0.40,2.747,0.000,-0.008
0.45,2.747,0.000,-0.006
0.50,2.747,-0.001,-0.004
0.55,2.747,-0.001,0.000
0.60,2.747,-0.001,0.003
0.65,2.747,0.000,0.004
0.70,2.747,0.000,0.003
0.75,2.747,0.000,0.001
0.80,2.747,0.000,0.001
0.85,2.747,0.000,0.001
0.90,2.747,0.000,0.003
0.95,2.747,0.001,-0.003
1.00,2.747,0.000,-0.279
1.05,2.747,-0.001,-1.871
1.10,2.747,0.000,-9.056
1.15,2.747,-0.485,-23.239
1.20,2.747,-1.913,-39.589
1.25,2.747,-6.207,-22.940
1.30,1.874,-5.998,24.371
1.35,1.924,-1.771,37.485
1.40,1.903,-0.665,20.373
1.45,1.890,-0.284,7.961
1.50,1.865,-0.206,1.649
1.55,1.882,-0.293,0.603
1.60,1.827,-0.237,1.616
1.65,1.847,-0.010,0.787
1.70,1.846,-0.119,-0.667
1.75,1.833,-0.179,-0.406
1.80,1.825,-0.195,0.540
1.85,1.808,-0.102,1.137
1.90,1.815,-0.011,0.458
1.95,1.814,-0.056,-0.198
2.00,1.810,-0.098,0.143
2.05,1.798,-0.059,0.486
2.10,1.795,0.106,-1.806
2.15,1.835,-0.172,-5.151
2.20,1.787,-0.632,-4.731
2.25,1.746,-0.687,-3.341
2.30,1.725,-0.838,-3.785
2.35,1.670,-1.100,-3.754
2.40,1.609,-1.264,-3.124
2.45,1.540,-1.374,-3.167
2.50,1.472,-1.498,-4.509
2.55,1.404,-1.861,-5.155
2.60,1.281,-2.147,-3.446
2.65,1.176,-2.191,-1.846
2.70,1.065,-2.259,-1.493
2.75,0.951,-2.326,-1.589
2.80,0.834,-2.417,-1.732
2.85,0.710,-2.519,-1.325
2.90,0.580,-2.594,0.411
2.95,0.448,-2.565,4.403
3.00,0.318,-2.338,12.851
3.05,0.186,-1.410,24.677
3.10,0.150,-0.120,45.570
3.15,0.151,2.793,72.066
3.20,0.448,5.786,106.791
3.25,0.158,17.262,67.680
3.30,2.747,18.216,-67.149
3.35,2.746,5.592,-115.876
3.40,2.747,1.438,-67.917
3.45,2.746,-0.002,-26.629
3.50,2.746,0.000,-5.490
3.55,2.747,0.000,-0.787
3.60,2.746,0.001,0.005
3.65,2.747,0.001,-0.804
3.70,2.746,0.000,-4.803
3.75,2.747,0.000,-21.585
3.80,2.747,-1.440,-43.149
3.85,2.746,-4.315,-50.335
3.90,2.747,-12.944,47.934
3.95,0.158,-0.002,145.423
4.00,2.746,12.944,47.957
4.05,2.746,4.315,-50.325
4.10,2.746,1.440,-43.147
4.15,2.747,0.001,-21.586
4.20,2.747,-0.001,-4.799
4.25,2.746,0.000,-0.798
4.30,2.747,0.000,-0.005
4.35,2.746,-0.001,0.004
4.40,2.746,0.001,0.009
4.45,2.747,0.001,0.000
4.50,2.746,0.000,-0.003
4.55,2.747,0.000,-0.006
4.60,2.747,-0.001,0.001
4.65,2.746,0.001,0.004
4.70,2.747,0.000,-0.007
4.75,2.747,-0.001,0.000
4.80,2.746,0.000,0.010
4.85,2.747,0.001,0.002
4.90,2.746,0.001,-0.012
4.95,2.747,0.000,-0.031
5.00,2.746,-0.003,-0.045
